,Choose your track,1- What is your current level expertise in computer programming?,2- How often do you code or work on tech related projects in your free time?,3- How often do you keep up with tech news and trends?,4- Were you willing to learn and work with programming languages?,"5-  Was your choice based on enjoying working with visual elements, such as layout and design?","7- Did you have interest in analyzing and studying user's behavior , needs and challenges?",8- Did you have a strong background in mathematics and enjoyed solving complex mathematical problems?,9-Did you enjoy working with data to solve real world problems?,10- Were you interested in data research and analysis?,11- Were you passionate about data analysis and deriving insights from data sets?,12- Did you have interest in using algorithms that can learn and improve from data?,13- Were you interested in server-side programming and building the backbone of applications?,14- Did you have interest in creating innovative and creative software?,15- Was you choice based on using mobile apps frequently and having ideas for new ones?,16- Were you concerned about the security of digital systems and data?,"17- Did you enjoy learning about encryption, firewalls and network protection",18- Did you enjoy creative problem-solving and design thinking?,6- Did you have interest creating responsive and interactive web pages
,UI/UX,Intermediate,Monthly,Weekly,No,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes
,Front-end,Beginner,Monthly,Never,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Back-end,Beginner,Weekly,Monthly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
,Mobile applications,Beginner,Daily,Monthly,Yes,No,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,UI/UX,Beginner,Rarely,Monthly,No,Yes,yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Cyber Security,Expert,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,Front-end,Beginner,Weekly,Never,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
,Mobile applications,Expert,Rarely,Weekly,Yes,No,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
,Data Science,Intermediate,Weekly,Never,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Front-end,Beginner,Daily,Monthly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
,Cyber Security,Intermediate,Monthly,Never,Yes,No,yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
,Back-end,Beginner,Daily,Monthly,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
,UI/UX,Expert,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Data Science,Expert,Rarely,Never,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
,UI/UX,Beginner,Daily,Never,No,Yes,yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
,Mobile applications,Beginner,Monthly,Daily,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Mobile applications,Intermediate,Never,Weekly,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
,Cyber Security,Expert,Never,Never,Yes,No,yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Never,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Intermediate,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
,Front-end,Intermediate,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,Back-end,Beginner,Monthly,Weekly,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
,UI/UX,Expert,Daily,Rarely,No,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes
,Mobile applications,Expert,Monthly,Daily,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
,Cyber Security,Expert,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
,Front-end,Beginner,Daily,Monthly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes
,Back-end,Expert,Monthly,Never,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes
,UI/UX,Beginner,Rarely,Never,No,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes
,Mobile applications,Intermediate,Monthly,Daily,Yes,No,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
,Cyber Security,Intermediate,Monthly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Rarely,Rarely,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Front-end,Intermediate,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Back-end,Beginner,Daily,Weekly,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
,UI/UX,Beginner,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
,Mobile applications,Intermediate,Monthly,Never,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Cyber Security,Intermediate,Never,Monthly,Yes,No,yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
,Data Science,Expert,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
,Front-end,Beginner,Monthly,Never,Yes,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Back-end,Expert,Daily,Never,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,UI/UX,Expert,Weekly,Monthly,No,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
,Mobile applications,Beginner,Rarely,Monthly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Cyber Security,Expert,Monthly,Daily,Yes,No,yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Never,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
,Machine Learning,Beginner,Monthly,Weekly,Yes,No,yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
,Front-end,Expert,Weekly,Monthly,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes
,Back-end,Expert,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,UI/UX,Beginner,Monthly,Never,No,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Front-end,Intermediate,Never,Weekly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Monthly,Daily,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
,UI/UX,Expert,Never,Daily,No,Yes,yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Monthly,Monthly,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Cyber Security,Intermediate,Rarely,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
,Front-end,Beginner,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
,Back-end,Intermediate,Daily,Daily,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
,UI/UX,Intermediate,Daily,Rarely,No,Yes,yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
,Mobile applications,Expert,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
,Cyber Security,Intermediate,Rarely,Monthly,Yes,No,yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,Data Science,Beginner,Monthly,Rarely,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
,Front-end,Beginner,Daily,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Back-end,Intermediate,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes
,UI/UX,Intermediate,Rarely,Monthly,No,Yes,yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
,Mobile applications,Intermediate,Weekly,Rarely,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
,Cyber Security,Expert,Never,Rarely,Yes,No,yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Weekly,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
,Machine Learning,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
,Front-end,Intermediate,Never,Daily,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Back-end,Beginner,Rarely,Monthly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
,UI/UX,Expert,Rarely,Never,No,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes
,Mobile applications,Beginner,Weekly,Monthly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Cyber Security,Expert,Never,Weekly,Yes,No,yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Rarely,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
,Machine Learning,Beginner,Never,Weekly,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
,Front-end,Expert,Rarely,Monthly,Yes,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Back-end,Beginner,Never,Never,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
,UI/UX,Expert,Never,Rarely,No,Yes,yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Daily,Never,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Cyber Security,Intermediate,Rarely,Weekly,Yes,No,yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,Data Science,Beginner,Rarely,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
,Front-end,Expert,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Back-end,Expert,Monthly,Rarely,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
,UI/UX,Beginner,Never,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,Mobile applications,Intermediate,Never,Weekly,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Cyber Security,Beginner,Weekly,Never,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
,Data Science,Intermediate,Daily,Daily,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Weekly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No
,Machine Learning,Beginner,Never,Monthly,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Rarely,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
,Front-end,Expert,Weekly,Rarely,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes
,Front-end,Beginner,Never,Daily,Yes,Yes,yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
,Back-end,Beginner,Weekly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
,Back-end,Intermediate,Never,Rarely,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
,UI/UX,Expert,Daily,Weekly,No,Yes,yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
,UI/UX,Intermediate,Never,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,Front-end,Expert,Monthly,Monthly,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Monthly,Daily,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Mobile applications,Expert,Weekly,Rarely,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Back-end,Expert,Monthly,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
,Cyber Security,Expert,Rarely,Daily,Yes,No,yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No
,Cyber Security,Intermediate,Monthly,Daily,Yes,No,yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
,Front-end,Intermediate,Monthly,Rarely,Yes,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,UI/UX,Intermediate,Rarely,Rarely,No,Yes,yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
,Data Science,Intermediate,Weekly,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
,Data Science,Beginner,Daily,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
,Back-end,Intermediate,Rarely,Never,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
,Mobile applications,Intermediate,Weekly,Daily,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Machine Learning,Expert,Weekly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
,Machine Learning,Beginner,Monthly,Rarely,Yes,No,yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
,UI/UX,Intermediate,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Expert,Rarely,Never,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Front-end,Beginner,Weekly,Daily,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Data Science,Beginner,Never,Never,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No
,Mobile applications,Expert,Daily,Rarely,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Back-end,Intermediate,Never,Rarely,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
,Back-end,Intermediate,Daily,Rarely,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes
,Machine Learning,Intermediate,Monthly,Never,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
,Cyber Security,Expert,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,UI/UX,Beginner,Daily,Never,No,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,UI/UX,Intermediate,Daily,Never,No,Yes,yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
,Data Science,Expert,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Front-end,Expert,Rarely,Never,Yes,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Mobile applications,Expert,Weekly,Never,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
,Mobile applications,Intermediate,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Expert,Daily,Monthly,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
,Machine Learning,Intermediate,Never,Rarely,Yes,No,yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
,Cyber Security,Intermediate,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Monthly,Monthly,Yes,No,yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,UI/UX,Beginner,Never,Monthly,No,Yes,yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
,Front-end,Expert,Monthly,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,Data Science,Beginner,Weekly,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Data Science,Intermediate,Never,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
,Back-end,Expert,Monthly,Daily,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
,Mobile applications,Beginner,Rarely,Monthly,Yes,No,yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
,Machine Learning,Intermediate,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No
,Machine Learning,Intermediate,Never,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
,UI/UX,Expert,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Cyber Security,Intermediate,Monthly,Never,Yes,No,yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Expert,Rarely,Monthly,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes
,Front-end,Expert,Weekly,Never,Yes,Yes,yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Expert,Rarely,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
,Mobile applications,Beginner,Rarely,Daily,Yes,No,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
,Back-end,Beginner,Weekly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
,Back-end,Expert,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
,Machine Learning,Expert,Daily,Never,Yes,No,yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No
,Cyber Security,Intermediate,Monthly,Daily,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,UI/UX,Expert,Rarely,Rarely,No,Yes,yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
,UI/UX,Beginner,Daily,Never,No,Yes,yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
,Front-end,Intermediate,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,Data Science,Beginner,Daily,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Mobile applications,Expert,Daily,Monthly,Yes,No,yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Daily,Weekly,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
,Back-end,Expert,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
,Machine Learning,Beginner,Monthly,Never,Yes,No,yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
,Cyber Security,Beginner,Daily,Daily,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Weekly,Daily,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
,UI/UX,Expert,Rarely,Monthly,No,Yes,yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Front-end,Intermediate,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
,Data Science,Expert,Monthly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Beginner,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Daily,Daily,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
,Back-end,Intermediate,Daily,Daily,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Rarely,Weekly,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
,Machine Learning,Beginner,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
,UI/UX,Expert,Never,Monthly,No,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Cyber Security,Expert,Daily,Rarely,Yes,No,yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
,Front-end,Expert,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Front-end,Intermediate,Weekly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,Data Science,Beginner,Weekly,Daily,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Weekly,Never,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
,Back-end,Intermediate,Rarely,Daily,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
,Back-end,Beginner,Weekly,Weekly,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Machine Learning,Expert,Never,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
,Cyber Security,Intermediate,Monthly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Expert,Daily,Rarely,No,Yes,yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,UI/UX,Beginner,Never,Monthly,No,Yes,yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Front-end,Beginner,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes
,Data Science,Expert,Daily,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Weekly,Never,Yes,No,yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Expert,Weekly,Daily,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Back-end,Expert,Never,Monthly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
,Machine Learning,Beginner,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No
,Cyber Security,Expert,Monthly,Never,Yes,No,yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
,Cyber Security,Beginner,Never,Weekly,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Intermediate,Rarely,Weekly,No,Yes,yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes
,Front-end,Expert,Daily,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
,Data Science,Expert,Daily,Never,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Daily,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
,Mobile applications,Beginner,Monthly,Rarely,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
,Back-end,Intermediate,Monthly,Weekly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes
,Machine Learning,Expert,Monthly,Monthly,Yes,No,yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Rarely,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
,UI/UX,Beginner,Never,Daily,No,Yes,yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
,Cyber Security,Intermediate,Daily,Weekly,Yes,No,yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
,Front-end,Beginner,Monthly,Monthly,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes
,Front-end,Beginner,Weekly,Rarely,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Data Science,Beginner,Daily,Rarely,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
,Mobile applications,Beginner,Monthly,Daily,Yes,Yes,yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
,Back-end,Beginner,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,Back-end,Expert,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes
,Machine Learning,Expert,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
,Cyber Security,Expert,Weekly,Weekly,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Intermediate,Monthly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
,UI/UX,Beginner,Weekly,Never,No,Yes,yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
,Front-end,Beginner,Monthly,Daily,Yes,Yes,yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes
,Data Science,Beginner,Weekly,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No
,Mobile applications,Expert,Rarely,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
,Mobile applications,Intermediate,Monthly,Monthly,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No
,Back-end,Intermediate,Never,Never,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
,Machine Learning,Intermediate,Rarely,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No
,Cyber Security,Expert,Monthly,Daily,Yes,No,yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Expert,Daily,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Beginner,Weekly,Never,No,Yes,yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
,Front-end,Beginner,Daily,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,Data Science,Expert,Never,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
